Timestamp,Gender,Age (Leave in a number) Ex: 17,What categories would you buy from? (Top 3)
06/08/2021 11:42:39,Female,16,"Electronics, Education, Clothing"
06/08/2021 11:45:24,Female,17,"Video games, Arts and Crafts, Clothing"
06/08/2021 11:45:26,Male,16,"Books, Education, Video games"
06/08/2021 11:45:29,Male,17,"Electronics, Books, Video games"
06/08/2021 11:46:02,Male,17,"Electronics, Video games, Clothing"
06/08/2021 11:59:04,Male,16,"Books, Video games, Clothing"
06/08/2021 12:19:28,Female,17,"Education, Clothing, Cosmetics"
06/08/2021 12:20:02,Female,18,"Electronics, Arts and Crafts, Clothing"
06/08/2021 12:20:10,Female,17,"Electronics, Books, Video games"
06/08/2021 12:22:08,Male,21,"Electronics, Books, Video games"
06/08/2021 12:24:41,Female,16,"Books, Arts and Crafts, Clothing"
06/08/2021 12:26:08,Female,17,"Books, Fitness, Travel"
06/08/2021 12:28:45,Female,16,"Books, Clothing, Cosmetics"
06/08/2021 12:33:40,Male,17,"Electronics, Education, Video games"
06/08/2021 12:50:55,Male,16,"Electronics, Books, Video games"
06/08/2021 12:51:21,Other,16,"Electronics, Toys, Video games"
06/08/2021 12:59:30,Female,21,"Electronics, Books, Video games"
06/08/2021 12:59:37,Female,17,"Video games, Houseware, Clothing"
06/08/2021 13:41:13,Male,15,"Electronics, Clothing, Travel"
06/08/2021 13:41:55,Female,16,"Video games, Clothing, Decorations"
06/08/2021 13:46:20,Female,17,"Clothing, Cosmetics, Fitness"
06/08/2021 13:48:09,Female,15,"Education, Clothing, Cosmetics"
06/08/2021 13:48:39,Female,17,"Electronics, Books, Education"
06/08/2021 14:12:09,Male,16,"Electronics, Clothing, Travel"
06/08/2021 14:13:47,Female,16,"Electronics, Education, Cosmetics"
06/08/2021 14:18:20,Male,18,"Electronics, Houseware, Decorations"
06/08/2021 14:26:06,Prefer not to say,17,"Video games, Clothing, Decorations"
06/08/2021 14:36:27,Female,16,"Electronics, Clothing, Travel"
06/08/2021 15:10:59,Female,17,"Clothing, Cosmetics, Decorations"
06/08/2021 15:15:04,Male,17,"Electronics, Houseware, Arts and Crafts"
06/08/2021 15:17:19,Female,20,"Education, Houseware, Clothing"
06/08/2021 15:24:24,Male,14,"Electronics, Books, Education"
06/08/2021 15:26:07,Female,17,"Electronics, Video games, Clothing"
06/08/2021 15:35:25,Female,20,"Education, Clothing, Cosmetics"
06/08/2021 15:56:49,Female,20,"Electronics, Education, Travel"
06/08/2021 16:09:37,Female,17,"Electronics, Video games, Clothing"
06/08/2021 16:21:40,Male,17,"Electronics, Toys, Clothing"
06/08/2021 16:37:38,Male,64,"Electronics, Houseware, Clothing"
06/08/2021 16:38:02,Female,59,"Houseware, Cosmetics, Travel"
06/08/2021 16:53:03,Male,50,"Electronics, Houseware, Clothing"
06/08/2021 16:54:00,Female,47,"Houseware, Clothing, Cosmetics"
06/08/2021 16:54:19,Male,51,"Electronics, Books, Clothing"
06/08/2021 16:55:02,Male,21,"Electronics, Clothing, Cosmetics"
06/08/2021 16:58:23,Female,76,"Books, Clothing, Decorations"